vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00003 0.00003
201 0.00004 0.00006
301 0.00006 0.00008
401 0.00008 0.00011
501 0.00010 0.00013
601 0.00011 0.00015
701 0.00013 0.00018
801 0.00015 0.00022
901 0.00017 0.00025
1001 0.00020 0.00026
1101 0.00021 0.00029
1201 0.00023 0.00031
1301 0.00025 0.00034
1401 0.00026 0.00037
1501 0.00029 0.00040
1601 0.00028 0.00042
1701 0.00032 0.00045
1801 0.00034 0.00048
1901 0.00036 0.00054
2001 0.00038 0.00052
2101 0.00041 0.00057
2201 0.00049 0.00064
2301 0.00055 0.00070
2401 0.00060 0.00083
2501 0.00060 0.00076
2601 0.00062 0.00081
2701 0.00064 0.00083
2801 0.00068 0.00078
2901 0.00070 0.00090
3001 0.00072 0.00075
3101 0.00074 0.00089
3201 0.00076 0.00095
3301 0.00078 0.00101
3401 0.00081 0.00081
3501 0.00084 0.00097
3601 0.00086 0.00092
3701 0.00089 0.00101
3801 0.00091 0.00106
3901 0.00093 0.00089
4001 0.00095 0.00095
4101 0.00098 0.00106
4201 0.00101 0.00088
4301 0.00096 0.00099
4401 0.00104 0.00101
4501 0.00107 0.00110
4601 0.00109 0.00101
4701 0.00121 0.00112
4801 0.00122 0.00101
4901 0.00117 0.00107
5001 0.00121 0.00109
5101 0.00119 0.00110
5201 0.00124 0.00101
5301 0.00127 0.00101
5401 0.00124 0.00108
5501 0.00132 0.00101
5601 0.00133 0.00103
5701 0.00149 0.00107
5801 0.00139 0.00100
5901 0.00142 0.00116
6001 0.00135 0.00116
6101 0.00142 0.00099
6201 0.00148 0.00102
6301 0.00138 0.00118
6401 0.00153 0.00117
6501 0.00151 0.00111
6601 0.00155 0.00107
6701 0.00154 0.00121
6801 0.00163 0.00116
6901 0.00155 0.00116
7001 0.00167 0.00122
7101 0.00151 0.00117
7201 0.00156 0.00127
7301 0.00155 0.00127
7401 0.00161 0.00134
7501 0.00156 0.00130
7601 0.00166 0.00128
7701 0.00184 0.00120
7801 0.00183 0.00126
7901 0.00179 0.00125
8001 0.00173 0.00128
8101 0.00170 0.00141
8201 0.00178 0.00131
8301 0.00181 0.00134
8401 0.00174 0.00141
8501 0.00178 0.00133
8601 0.00174 0.00144
8701 0.00181 0.00146
8801 0.00177 0.00146
8901 0.00191 0.00140
9001 0.00198 0.00147
9101 0.00181 0.00147
9201 0.00193 0.00149
9301 0.00196 0.00149
9401 0.00186 0.00155
9501 0.00200 0.00148
9601 0.00195 0.00152
9701 0.00199 0.00155
9801 0.00188 0.00157
9901 0.00200 0.00155
10001 0.00201 0.00158
10101 0.00202 0.00160
10201 0.00212 0.00159
10301 0.00219 0.00167
10401 0.00200 0.00165
10501 0.00197 0.00167
10601 0.00219 0.00168
10701 0.00217 0.00168
10801 0.00219 0.00176
10901 0.00215 0.00174
11001 0.00210 0.00172
11101 0.00220 0.00174
11201 0.00222 0.00177
11301 0.00233 0.00183
11401 0.00215 0.00178
11501 0.00215 0.00180
11601 0.00217 0.00182
11701 0.00225 0.00185
11801 0.00231 0.00187
11901 0.00214 0.00188
12001 0.00223 0.00188
12101 0.00235 0.00191
12201 0.00227 0.00191
12301 0.00227 0.00192
12401 0.00230 0.00195
12501 0.00238 0.00197
12601 0.00238 0.00197
12701 0.00234 0.00200
12801 0.00236 0.00201
12901 0.00244 0.00204
13001 0.00243 0.00204
13101 0.00241 0.00205
13201 0.00243 0.00206
13301 0.00235 0.00209
13401 0.00243 0.00211
13501 0.00261 0.00212
13601 0.00242 0.00214
13701 0.00243 0.00215
13801 0.00244 0.00216
13901 0.00248 0.00219
14001 0.00246 0.00220
14101 0.00254 0.00221
14201 0.00261 0.00223
14301 0.00260 0.00226
14401 0.00257 0.00227
14501 0.00256 0.00227
14601 0.00257 0.00230
14701 0.00257 0.00230
14801 0.00251 0.00232
14901 0.00256 0.00233
15001 0.00269 0.00235
15101 0.00262 0.00238
15201 0.00274 0.00237
15301 0.00275 0.00239
15401 0.00255 0.00242
15501 0.00268 0.00243
15601 0.00261 0.00245
15701 0.00264 0.00245
15801 0.00272 0.00247
15901 0.00262 0.00250
16001 0.00260 0.00251
16101 0.00282 0.00252
16201 0.00268 0.00254
16301 0.00283 0.00255
16401 0.00282 0.00257
16501 0.00280 0.00258
16601 0.00287 0.00261
16701 0.00295 0.00262
16801 0.00281 0.00265
16901 0.00288 0.00268
17001 0.00300 0.00267
17101 0.00301 0.00271
17201 0.00298 0.00269
17301 0.00292 0.00271
17401 0.00302 0.00274
17501 0.00303 0.00273
17601 0.00297 0.00278
17701 0.00305 0.00277
17801 0.00304 0.00281
17901 0.00313 0.00281
18001 0.00292 0.00282
18101 0.00319 0.00284
18201 0.00316 0.00285
18301 0.00312 0.00288
18401 0.00301 0.00288
18501 0.00305 0.00289
18601 0.00318 0.00291
18701 0.00315 0.00293
18801 0.00322 0.00296
18901 0.00314 0.00297
19001 0.00329 0.00299
19101 0.00318 0.00299
19201 0.00322 0.00302
19301 0.00327 0.00303
19401 0.00330 0.00305
19501 0.00321 0.00306
19601 0.00336 0.00308
19701 0.00323 0.00309
19801 0.00325 0.00311
19901 0.00324 0.00313
20001 0.00321 0.00313
20101 0.00344 0.00317
20201 0.00340 0.00322
20301 0.00333 0.00325
20401 0.00327 0.00320
20501 0.00344 0.00321
20601 0.00339 0.00323
20701 0.00328 0.00326
20801 0.00350 0.00326
20901 0.00357 0.00327
21001 0.00344 0.00329
21101 0.00338 0.00333
21201 0.00356 0.00335
21301 0.00353 0.00335
21401 0.00357 0.00336
21501 0.00363 0.00341
21601 0.00359 0.00343
21701 0.00358 0.00339
21801 0.00368 0.00342
21901 0.00363 0.00345
22001 0.00360 0.00347
22101 0.00351 0.00346
22201 0.00366 0.00348
22301 0.00356 0.00350
22401 0.00349 0.00350
22501 0.00363 0.00354
22601 0.00368 0.00355
22701 0.00373 0.00360
22801 0.00372 0.00359
22901 0.00365 0.00362
23001 0.00375 0.00367
23101 0.00361 0.00368
23201 0.00388 0.00365
23301 0.00361 0.00367
23401 0.00371 0.00367
23501 0.00384 0.00371
23601 0.00384 0.00371
23701 0.00389 0.00375
23801 0.00368 0.00372
23901 0.00373 0.00377
24001 0.00385 0.00377
24101 0.00382 0.00379
24201 0.00397 0.00385
24301 0.00406 0.00385
24401 0.00384 0.00383
24501 0.00388 0.00393
24601 0.00404 0.00393
24701 0.00391 0.00393
24801 0.00408 0.00396
24901 0.00387 0.00392
25001 0.00401 0.00400
25101 0.00391 0.00398
25201 0.00389 0.00399
25301 0.00402 0.00404
25401 0.00387 0.00400
25501 0.00399 0.00404
25601 0.00410 0.00404
25701 0.00394 0.00404
25801 0.00406 0.00406
25901 0.00410 0.00414
26001 0.00424 0.00407
26101 0.00423 0.00411
26201 0.00414 0.00412
26301 0.00422 0.00417
26401 0.00413 0.00414
26501 0.00416 0.00417
26601 0.00428 0.00418
26701 0.00424 0.00423
26801 0.00424 0.00421
26901 0.00436 0.00422
27001 0.00418 0.00431
27101 0.00430 0.00425
27201 0.00430 0.00428
27301 0.00420 0.00428
27401 0.00435 0.00429
27501 0.00450 0.00440
27601 0.00446 0.00441
27701 0.00425 0.00439
27801 0.00437 0.00446
27901 0.00426 0.00443
28001 0.00451 0.00442
28101 0.00446 0.00448
28201 0.00446 0.00444
28301 0.00443 0.00443
28401 0.00452 0.00446
28501 0.00457 0.00454
28601 0.00445 0.00451
28701 0.00457 0.00452
