threads vectorsize sequential_time parallel_time
13 1 0.00000 0.00000
13 26 0.00001 0.00001
13 51 0.00001 0.00001
13 76 0.00002 0.00002
13 101 0.00002 0.00002
13 126 0.00002 0.00002
13 151 0.00002 0.00002
13 176 0.00003 0.00003
13 201 0.00003 0.00003
13 226 0.00006 0.00004
13 251 0.00004 0.00004
13 276 0.00005 0.00005
13 301 0.00005 0.00005
13 326 0.00006 0.00006
13 351 0.00006 0.00007
13 376 0.00006 0.00006
13 401 0.00007 0.00007
13 426 0.00005 0.00005
13 451 0.00008 0.00008
13 476 0.00008 0.00009
13 501 0.00009 0.00009
13 526 0.00009 0.00009
13 551 0.00009 0.00009
13 576 0.00008 0.00009
13 601 0.00012 0.00014
13 626 0.00010 0.00009
13 651 0.00011 0.00011
13 676 0.00011 0.00011
13 701 0.00013 0.00004
13 726 0.00009 0.00004
13 751 0.00013 0.00005
13 776 0.00012 0.00010
13 801 0.00010 0.00004
13 826 0.00017 0.00004
13 851 0.00011 0.00006
13 876 0.00015 0.00004
13 901 0.00011 0.00001
13 926 0.00016 0.00005
13 951 0.00018 0.00004
13 976 0.00018 0.00004
13 1001 0.00019 0.00004
13 1026 0.00019 0.00004
13 1051 0.00019 0.00009
13 1076 0.00019 0.00004
13 1101 0.00019 0.00002
13 1126 0.00020 0.00003
13 1151 0.00019 0.00004
13 1176 0.00021 0.00002
13 1201 0.00020 0.00004
13 1226 0.00022 0.00003
13 1251 0.00019 0.00004
13 1276 0.00023 0.00004
13 1301 0.00024 0.00004
13 1326 0.00024 0.00001
13 1351 0.00022 0.00004
13 1376 0.00025 0.00007
13 1401 0.00026 0.00001
13 1426 0.00025 0.00004
13 1451 0.00025 0.00002
13 1476 0.00027 0.00007
13 1501 0.00027 0.00002
13 1526 0.00027 0.00004
13 1551 0.00019 0.00002
13 1576 0.00027 0.00003
13 1601 0.00029 0.00004
13 1626 0.00029 0.00004
13 1651 0.00028 0.00004
13 1676 0.00031 0.00007
13 1701 0.00026 0.00008
13 1726 0.00027 0.00001
13 1751 0.00031 0.00004
13 1776 0.00031 0.00005
13 1801 0.00033 0.00004
13 1826 0.00033 0.00008
13 1851 0.00033 0.00004
13 1876 0.00033 0.00007
13 1901 0.00033 0.00002
13 1926 0.00036 0.00004
13 1951 0.00026 0.00007
13 1976 0.00036 0.00004
13 2001 0.00035 0.00007
13 2026 0.00036 0.00004
13 2051 0.00032 0.00004
13 2076 0.00038 0.00002
13 2101 0.00041 0.00002
13 2126 0.00042 0.00006
13 2151 0.00043 0.00008
13 2176 0.00045 0.00001
13 2201 0.00046 0.00004
13 2226 0.00051 0.00001
13 2251 0.00052 0.00004
13 2276 0.00054 0.00004
13 2301 0.00049 0.00004
13 2326 0.00054 0.00004
13 2351 0.00055 0.00001
13 2376 0.00057 0.00008
13 2401 0.00056 0.00004
13 2426 0.00058 0.00004
13 2451 0.00059 0.00001
13 2476 0.00056 0.00007
13 2501 0.00061 0.00001
13 2526 0.00059 0.00004
13 2551 0.00054 0.00004
13 2576 0.00062 0.00004
13 2601 0.00063 0.00005
13 2626 0.00063 0.00001
13 2651 0.00063 0.00004
13 2676 0.00065 0.00004
13 2701 0.00064 0.00006
13 2726 0.00063 0.00001
13 2751 0.00065 0.00004
13 2776 0.00066 0.00008
13 2801 0.00053 0.00004
13 2826 0.00067 0.00004
13 2851 0.00068 0.00004
13 2876 0.00051 0.00002
13 2901 0.00067 0.00010
13 2926 0.00067 0.00004
13 2951 0.00062 0.00008
13 2976 0.00069 0.00003
13 3001 0.00072 0.00007
13 3026 0.00071 0.00004
13 3051 0.00071 0.00008
13 3076 0.00075 0.00007
13 3101 0.00074 0.00002
13 3126 0.00073 0.00006
13 3151 0.00073 0.00004
13 3176 0.00075 0.00002
13 3201 0.00076 0.00004
13 3226 0.00062 0.00004
13 3251 0.00076 0.00004
13 3276 0.00080 0.00004
13 3301 0.00071 0.00003
13 3326 0.00078 0.00004
13 3351 0.00078 0.00005
13 3376 0.00080 0.00004
13 3401 0.00081 0.00004
13 3426 0.00082 0.00003
13 3451 0.00078 0.00006
13 3476 0.00083 0.00007
13 3501 0.00084 0.00006
13 3526 0.00058 0.00004
13 3551 0.00086 0.00005
13 3576 0.00084 0.00001
13 3601 0.00086 0.00007
13 3626 0.00084 0.00004
13 3651 0.00059 0.00005
13 3676 0.00079 0.00004
13 3701 0.00084 0.00003
13 3726 0.00091 0.00004
13 3751 0.00090 0.00004
13 3776 0.00090 0.00004
13 3801 0.00071 0.00004
13 3826 0.00082 0.00004
13 3851 0.00068 0.00004
13 3876 0.00093 0.00002
13 3901 0.00095 0.00004
13 3926 0.00078 0.00001
13 3951 0.00083 0.00004
13 3976 0.00088 0.00004
13 4001 0.00089 0.00002
13 4026 0.00099 0.00005
13 4051 0.00096 0.00210
13 4076 0.00096 0.00002
13 4101 0.00092 0.00004
13 4126 0.00096 0.00004
13 4151 0.00084 0.00006
13 4176 0.00100 0.00004
13 4201 0.00096 0.00006
13 4226 0.00102 0.00004
13 4251 0.00081 0.00001
13 4276 0.00083 0.00004
13 4301 0.00075 0.00005
13 4326 0.00080 0.00004
13 4351 0.00091 0.00004
13 4376 0.00092 0.00004
13 4401 0.00094 0.00002
13 4426 0.00081 0.00006
13 4451 0.00105 0.00004
13 4476 0.00106 0.00004
13 4501 0.00101 0.00002
13 4526 0.00106 0.00008
13 4551 0.00108 0.00005
13 4576 0.00098 0.00005
13 4601 0.00105 0.00233
13 4626 0.00111 0.00004
13 4651 0.00110 0.00005
13 4676 0.00083 0.00004
13 4701 0.00113 0.00005
13 4726 0.00107 0.00005
13 4751 0.00100 0.00003
13 4776 0.00104 0.00004
13 4801 0.00096 0.00002
13 4826 0.00101 0.00005
13 4851 0.00106 0.00004
13 4876 0.00113 0.00002
13 4901 0.00117 0.00004
13 4926 0.00118 0.00004
13 4951 0.00111 0.00004
13 4976 0.00113 0.00005
13 5001 0.00107 0.00002
13 5026 0.00106 0.00003
13 5051 0.00107 0.00002
13 5076 0.00101 0.00004
13 5101 0.00114 0.00004
13 5126 0.00088 0.00010
13 5151 0.00121 0.00004
13 5176 0.00112 0.00001
13 5201 0.00103 0.00002
13 5226 0.00100 0.00006
13 5251 0.00107 0.00005
13 5276 0.00124 0.00004
13 5301 0.00132 0.00004
