threads vectorsize sequential_time parallel_time
8 1 0.00000 0.00002
8 26 0.00000 0.00001
8 51 0.00001 0.00004
8 76 0.00001 0.00005
8 101 0.00001 0.00008
8 126 0.00002 0.00005
8 151 0.00003 0.00005
8 176 0.00003 0.00004
8 201 0.00003 0.00004
8 226 0.00004 0.00001
8 251 0.00004 0.00003
8 276 0.00005 0.00001
8 301 0.00005 0.00002
8 326 0.00006 0.00002
8 351 0.00004 0.00007
8 376 0.00007 0.00001
8 401 0.00007 0.00001
8 426 0.00008 0.00001
8 451 0.00009 0.00006
8 476 0.00008 0.00002
8 501 0.00006 0.00001
8 526 0.00009 0.00002
8 551 0.00010 0.00006
8 576 0.00010 0.00004
8 601 0.00010 0.00003
8 626 0.00011 0.00004
8 651 0.00012 0.00004
8 676 0.00012 0.00004
8 701 0.00012 0.00004
8 726 0.00013 0.00005
8 751 0.00013 0.00001
8 776 0.00015 0.00001
8 801 0.00014 0.00006
8 826 0.00010 0.00003
8 851 0.00013 0.00007
8 876 0.00015 0.00004
8 901 0.00016 0.00004
8 926 0.00016 0.00002
8 951 0.00018 0.00002
8 976 0.00019 0.00004
8 1001 0.00014 0.00001
8 1026 0.00013 0.00005
8 1051 0.00015 0.00001
8 1076 0.00016 0.00009
8 1101 0.00018 0.00002
8 1126 0.00013 0.00001
8 1151 0.00021 0.00001
8 1176 0.00014 0.00004
8 1201 0.00022 0.00004
8 1226 0.00020 0.00001
8 1251 0.00020 0.00004
8 1276 0.00023 0.00006
8 1301 0.00023 0.00001
8 1326 0.00016 0.00001
8 1351 0.00024 0.00002
8 1376 0.00021 0.00004
8 1401 0.00025 0.00004
8 1426 0.00027 0.00001
8 1451 0.00025 0.00001
8 1476 0.00026 0.00001
8 1501 0.00026 0.00002
8 1526 0.00027 0.00001
8 1551 0.00028 0.00004
8 1576 0.00029 0.00004
8 1601 0.00028 0.00002
8 1626 0.00028 0.00004
8 1651 0.00026 0.00002
8 1676 0.00029 0.00002
8 1701 0.00030 0.00000
8 1726 0.00030 0.00000
8 1751 0.00032 0.00005
8 1776 0.00037 0.00001
8 1801 0.00033 0.00001
8 1826 0.00032 0.00002
8 1851 0.00032 0.00001
8 1876 0.00033 0.00002
8 1901 0.00033 0.00004
8 1926 0.00031 0.00004
8 1951 0.00036 0.00004
8 1976 0.00035 0.00004
8 2001 0.00030 0.00001
8 2026 0.00034 0.00002
8 2051 0.00037 0.00002
8 2076 0.00036 0.00003
8 2101 0.00040 0.00002
8 2126 0.00041 0.00002
8 2151 0.00038 0.00002
8 2176 0.00039 0.00002
8 2201 0.00047 0.00004
8 2226 0.00052 0.00004
8 2251 0.00051 0.00002
8 2276 0.00037 0.00004
8 2301 0.00044 0.00001
8 2326 0.00043 0.00005
8 2351 0.00054 0.00003
8 2376 0.00056 0.00002
8 2401 0.00055 0.00002
8 2426 0.00059 0.00002
8 2451 0.00059 0.00002
8 2476 0.00061 0.00005
8 2501 0.00051 0.00001
8 2526 0.00057 0.00001
8 2551 0.00045 0.00002
8 2576 0.00059 0.00001
8 2601 0.00061 0.00001
8 2626 0.00064 0.00002
8 2651 0.00046 0.00004
8 2676 0.00057 0.00002
8 2701 0.00043 0.00001
8 2726 0.00039 0.00000
8 2751 0.00048 0.00005
8 2776 0.00043 0.00004
8 2801 0.00060 0.00004
8 2826 0.00047 0.00001
8 2851 0.00068 0.00001
8 2876 0.00067 0.00001
8 2901 0.00067 0.00004
8 2926 0.00047 0.00002
8 2951 0.00070 0.00004
8 2976 0.00071 0.00004
8 3001 0.00070 0.00001
8 3026 0.00073 0.00004
8 3051 0.00074 0.00001
8 3076 0.00074 0.00004
8 3101 0.00078 0.00002
8 3126 0.00072 0.00001
8 3151 0.00076 0.00001
8 3176 0.00065 0.00000
8 3201 0.00075 0.00004
8 3226 0.00068 0.00002
8 3251 0.00078 0.00002
8 3276 0.00081 0.00004
8 3301 0.00080 0.00001
8 3326 0.00078 0.00004
8 3351 0.00077 0.00001
8 3376 0.00076 0.00004
8 3401 0.00081 0.00002
8 3426 0.00082 0.00001
8 3451 0.00077 0.00001
8 3476 0.00076 0.00001
8 3501 0.00085 0.00003
8 3526 0.00070 0.00001
8 3551 0.00075 0.00001
8 3576 0.00074 0.00001
8 3601 0.00066 0.00002
8 3626 0.00077 0.00004
8 3651 0.00084 0.00002
8 3676 0.00069 0.00001
8 3701 0.00070 0.00002
8 3726 0.00056 0.00001
8 3751 0.00065 0.00149
8 3776 0.00086 0.00004
8 3801 0.00089 0.00004
8 3826 0.00103 0.00001
8 3851 0.00091 0.00001
8 3876 0.00088 0.00004
8 3901 0.00093 0.00004
8 3926 0.00083 0.00004
8 3951 0.00092 0.00005
8 3976 0.00082 0.00001
8 4001 0.00079 0.00001
8 4026 0.00073 0.00001
8 4051 0.00072 0.00002
8 4076 0.00077 0.00004
8 4101 0.00078 0.00001
8 4126 0.00087 0.00004
8 4151 0.00079 0.00001
8 4176 0.00088 0.00001
8 4201 0.00088 0.00004
8 4226 0.00094 0.00002
8 4251 0.00101 0.00004
8 4276 0.00099 0.00001
8 4301 0.00095 0.00004
8 4326 0.00096 0.00004
8 4351 0.00081 0.00002
8 4376 0.00104 0.00231
8 4401 0.00097 0.00002
8 4426 0.00103 0.00002
8 4451 0.00077 0.00001
8 4476 0.00101 0.00001
8 4501 0.00109 0.00001
8 4526 0.00102 0.00002
8 4551 0.00093 0.00006
8 4576 0.00083 0.00004
8 4601 0.00078 0.00004
8 4626 0.00098 0.00004
8 4651 0.00088 0.00004
8 4676 0.00088 0.00001
8 4701 0.00094 0.00002
8 4726 0.00089 0.00004
8 4751 0.00116 0.00002
8 4776 0.00079 0.00002
8 4801 0.00073 0.00004
8 4826 0.00076 0.00001
8 4851 0.00082 0.00002
8 4876 0.00072 0.00001
8 4901 0.00094 0.00004
8 4926 0.00091 0.00006
8 4951 0.00085 0.00004
8 4976 0.00115 0.00004
8 5001 0.00108 0.00005
8 5026 0.00095 0.00002
8 5051 0.00108 0.00001
8 5076 0.00114 0.00004
8 5101 0.00124 0.00002
8 5126 0.00111 0.00002
8 5151 0.00097 0.00001
8 5176 0.00082 0.00001
8 5201 0.00089 0.00004
8 5226 0.00091 0.00003
8 5251 0.00088 0.00002
8 5276 0.00084 0.00001
8 5301 0.00078 0.00004
8 5326 0.00085 0.00001
8 5351 0.00101 0.00001
8 5376 0.00100 0.00004
8 5401 0.00099 0.00006
8 5426 0.00086 0.00004
8 5451 0.00081 0.00004
8 5476 0.00088 0.00004
8 5501 0.00094 0.00002
8 5526 0.00102 0.00001
8 5551 0.00095 0.00001
8 5576 0.00086 0.00002
8 5601 0.00082 0.00001
8 5626 0.00078 0.00004
8 5651 0.00107 0.00001
8 5676 0.00103 0.00001
8 5701 0.00121 0.00001
8 5726 0.00130 0.00004
8 5751 0.00122 0.00002
8 5776 0.00134 0.00004
8 5801 0.00127 0.00001
8 5826 0.00114 0.00001
8 5851 0.00112 0.00003
8 5876 0.00099 0.00001
8 5901 0.00100 0.00002
8 5926 0.00115 0.00001
8 5951 0.00104 0.00002
8 5976 0.00093 0.00004
8 6001 0.00108 0.00004
8 6026 0.00116 0.00001
8 6051 0.00102 0.00004
8 6076 0.00135 0.00004
8 6101 0.00137 0.00001
8 6126 0.00103 0.00002
8 6151 0.00098 0.00004
8 6176 0.00095 0.00002
8 6201 0.00127 0.00002
8 6226 0.00130 0.00001
8 6251 0.00116 0.00002
8 6276 0.00132 0.00002
8 6301 0.00147 0.00001
8 6326 0.00108 0.00003
8 6351 0.00096 0.00001
8 6376 0.00144 0.00004
8 6401 0.00144 0.00001
8 6426 0.00127 0.00005
8 6451 0.00111 0.00004
8 6476 0.00116 0.00001
8 6501 0.00107 0.00001
8 6526 0.00121 0.00001
8 6551 0.00109 0.00005
8 6576 0.00111 0.00002
8 6601 0.00110 0.00004
8 6626 0.00111 0.00002
8 6651 0.00146 0.00004
8 6676 0.00156 0.00004
8 6701 0.00129 0.00006
8 6726 0.00142 0.00004
8 6751 0.00149 0.00003
8 6776 0.00134 0.00004
8 6801 0.00124 0.00005
8 6826 0.00110 0.00004
8 6851 0.00110 0.00001
8 6876 0.00109 0.00006
8 6901 0.00115 0.00004
8 6926 0.00100 0.00001
8 6951 0.00106 0.00004
8 6976 0.00090 0.00002
8 7001 0.00088 0.00002
8 7026 0.00113 0.00005
8 7051 0.00105 0.00004
8 7076 0.00107 0.00001
8 7101 0.00113 0.00001
8 7126 0.00156 0.00002
8 7151 0.00148 0.00002
8 7176 0.00118 0.00002
8 7201 0.00116 0.00003
8 7226 0.00124 0.00001
8 7251 0.00104 0.00006
8 7276 0.00110 0.00001
8 7301 0.00107 0.00002
8 7326 0.00107 0.00006
8 7351 0.00106 0.00001
8 7376 0.00120 0.00001
8 7401 0.00126 0.00001
8 7426 0.00136 0.00002
8 7451 0.00134 0.00002
8 7476 0.00128 0.00004
8 7501 0.00120 0.00004
